cabang,latitude_cabang,longitude_cabang,lama_beroperasi_bulan,Omset Jan25,Omset Jan26,Growth,Persen Growth,Kategori_By_StdDev,Kategori_Percentile,Kategori_Atasan,Kategori_ZScore,Kategori_IQR,Kategori_Final
Store-0023,-6.107507693,104.0866267,64,159277840,214110695,54832855,34.43,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0024,-8.345922279,107.2953354,65,50000000,42730128,-7269872,-14.54,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0025,-7.025374087,110.3256057,81,74780322,88803024,14022702,18.75,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0026,-6.042416115,109.1413915,67,50000000,60360337,10360337,20.72,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0027,-7.935290366,102.9193485,90,50000000,69452607,19452607,38.91,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0028,-5.645252972,104.3715297,15,50000000,32662833,-17337167,-34.67,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0029,-7.109758035,109.197528,100,50000000,71851345,21851345,43.7,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0030,-6.646340625,104.3893815,32,50000000,39045266,-10954734,-21.91,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0031,-7.111359918,106.2840171,96,50000000,47402309,-2597691,-5.2,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0032,-3.430382723,108.2207302,68,108255025,108762792,507766,0.47,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0033,-6.229045837,104.4247389,18,50000000,72666537,22666537,45.33,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0034,-7.795366393,107.1090388,113,74949481,268123895,193174414,257.74,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0035,-4.974982632,103.5105363,83,136355430,626295040,489939610,359.31,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0036,-8.040065475,105.3421809,43,50000000,40300137,-9699863,-19.4,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0037,-5.895504607,107.6450548,116,50000000,63973600,13973600,27.95,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0038,-9.148305186,102.8631157,35,57178312,66805600,9627288,16.84,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0039,-8.201079073,107.9467868,104,133262993,187878858,54615865,40.98,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0040,-5.913508146,106.7965055,78,73770138,74335696,565558,0.77,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0041,-5.10110013,108.2268249,58,50000000,73923360,23923360,47.85,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0042,-5.951747578,107.4053853,33,87778398,87157188,-621210,-0.71,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0043,-6.382272424,110.2559511,14,50000000,58238175,8238175,16.48,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0044,-6.660455543,107.1586613,34,98820507,204358303,105537795,106.8,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0045,-8.426582986,105.7720861,61,83902367,59561765,-24340602,-29.01,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0046,-7.288566313,107.1513438,119,54587469,39795095,-14792374,-27.1,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0047,-6.899758156,108.2038451,4,50000000,75671793,25671793,51.34,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0048,-4.623116661,106.9677502,88,50000000,46427139,-3572861,-7.15,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0049,-5.693372566,106.9470792,59,90502714,97082713,6579999,7.27,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0050,-8.853360233,105.0906208,29,137260111,121823488,-15436622,-11.25,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0051,-5.722674046,105.1883477,83,50000000,54803997,4803997,9.61,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0052,-6.786423421,103.3390868,6,86446132,159010332,72564201,83.94,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0053,-7.224183,111.2195419,97,50000000,76042569,26042569,52.09,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0054,-5.291285567,103.7359419,49,50000000,77244470,27244470,54.49,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0055,-4.662300716,105.113337,40,64447703,40828211,-23619492,-36.65,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0056,-4.811879821,105.0495818,83,50000000,36976925,-13023075,-26.05,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0057,-7.467626285,109.0829109,117,50000000,3218427,-46781573,-93.56,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0058,-6.672618564,106.1082258,65,50000000,43812384,-6187616,-12.38,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0059,-5.711904853,109.9649552,69,78241882,123831961,45590080,58.27,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0060,-4.745482309,105.1618734,27,58679594,82549197,23869603,40.68,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0061,-6.927561357,107.5430854,80,50000000,55569735,5569735,11.14,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0062,-6.487288465,104.7572324,6,50000000,59553994,9553994,19.11,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0063,-7.868302461,112.2084728,104,50000000,46222289,-3777711,-7.56,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0064,-8.003109936,103.876604,13,86409826,110769063,24359237,28.19,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0065,-4.990011266,107.6201518,112,50000000,75317566,25317566,50.64,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0066,-4.174439957,108.4300422,64,50000000,27682264,-22317736,-44.64,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0067,-6.316815182,107.8800977,62,50000000,65992954,15992954,31.99,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0068,-4.703500653,106.3823809,99,151032057,237569490,86537434,57.3,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0069,-5.666345962,106.5210483,19,52116227,53886088,1769861,3.4,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0070,-7.176479632,106.9551287,76,82622565,122304551,39681986,48.03,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0071,-5.666706592,106.478095,80,71467566,166223680,94756114,132.59,Sedang,Atas,Sangat Baik,Normal,Extreme High,Outstanding
Store-0072,-3.90174515,109.2552978,43,50000000,57913144,7913144,15.83,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0073,-6.262539059,112.3719075,74,104106433,141306038,37199604,35.73,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0074,-3.861834516,105.4518705,89,74718472,67603567,-7114905,-9.52,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0075,-10.13841766,103.4210926,20,89072498,113344796,24272297,27.25,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0076,-4.975946243,106.6248949,95,692447253,958422232,265974979,38.41,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0077,-6.078229398,113.2948733,68,50000000,63896847,13896847,27.79,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0078,-6.657311026,104.8364136,44,184806149,146388993,-38417156,-20.79,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0079,-6.071158835,110.943392,23,55258431,70871409,15612977,28.25,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0080,-9.190153372,111.039852,2,78013882,139245291,61231409,78.49,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0081,-6.538307832,105.4616294,120,63891229,88135031,24243802,37.95,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0082,-5.673131143,108.2680577,22,50904312,80672893,29768581,58.48,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0083,-3.991958933,110.9165916,115,50000000,55259761,5259761,10.52,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0084,-6.986205327,105.8977806,57,80013445,120016975,40003530,50,Sedang,Atas,Baik,Normal,Normal,High Performer
Store-0085,-7.421540404,106.3366491,101,50000000,65585357,15585357,31.17,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0086,-6.961435565,105.3913977,72,103011120,84431592,-18579528,-18.04,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0087,-4.835696823,104.3087082,7,51150527,151830738,100680211,196.83,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0088,-5.715673336,105.2224061,78,50000000,40166067,-9833933,-19.67,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0089,-7.003440306,103.7857493,56,50123087,47458940,-2664148,-5.32,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0090,-5.43889885,106.9308087,119,139599690,178091698,38492007,27.57,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0091,-6.063183676,104.9206669,67,50000000,65944885,15944885,31.89,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0092,-4.755832514,107.4300648,114,81415169,58969578,-22445591,-27.57,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0093,-7.261879641,102.9558609,16,50000000,81079715,31079715,62.16,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0094,-6.70029322,107.6728006,119,103465948,147832406,44366458,42.88,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0095,-6.79696223,108.9294224,83,99066772,90954058,-8112714,-8.19,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0096,-8.404072422,101.8612609,51,199069646,116448991,-82620655,-41.5,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0097,-5.764619584,107.7807414,82,59095281,67489067,8393785,14.2,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0098,-5.817217092,109.9147725,116,98070080,100190602,2120522,2.16,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0099,-6.201129815,103.8214975,80,69639363,86718847,17079484,24.53,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0100,-6.5606807,111.027031,72,142881056,150704271,7823214,5.48,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0101,-8.331856113,107.8931475,97,50000000,19850863,-30149137,-60.3,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0102,-6.839767984,105.0830704,113,102667194,107252437,4585243,4.47,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0103,-6.722871775,106.7061773,12,58420746,62963096,4542351,7.78,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0104,-7.412215904,108.2414173,53,63179289,91828847,28649559,45.35,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0105,-6.450728567,107.0356135,75,69375996,63875876,-5500120,-7.93,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0106,-5.602723715,108.19249,5,76388616,142958993,66570377,87.15,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0107,-3.379521148,104.543916,27,61237027,26659159,-34577868,-56.47,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0108,-5.946933281,107.2690021,12,74687844,54318277,-20369567,-27.27,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0109,-5.822474414,103.3113138,17,169247185,187910480,18663295,11.03,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0110,-6.320468874,106.5675348,6,118600328,183099213,64498885,54.38,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0111,-9.086956823,104.5858309,97,110606869,136258880,25652011,23.19,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0112,-6.248570813,105.0067751,5,50000000,82791111,32791111,65.58,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0113,-6.118454685,109.9358329,57,50000000,52252761,2252761,4.51,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0114,-2.513936831,109.5738753,28,116474199,88584665,-27889534,-23.94,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0115,-6.497341447,108.3684453,78,111065211,196385697,85320486,76.82,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0116,-5.756478986,104.1148181,69,158870888,183433557,24562669,15.46,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0117,-6.260867655,106.0545789,118,50000000,244464480,194464480,388.93,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0118,-7.961817056,109.8783442,120,57211804,96911119,39699315,69.39,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0119,-4.494565778,107.1998923,59,50000000,39360895,-10639105,-21.28,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0120,-5.080900451,112.6439238,33,51883809,74619105,22735296,43.82,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0121,-5.022252079,107.8288946,62,119394334,851498514,732104180,613.18,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High,Outstanding
Store-0122,-7.572881182,107.3257228,50,50000000,57356613,7356613,14.71,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0123,-4.104608534,106.0728088,112,96426139,118499200,22073060,22.89,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0124,-8.311576594,107.1794523,105,58567948,35135571,-23432377,-40.01,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0125,-5.328514359,106.4644254,19,79752147,70857006,-8895141,-11.15,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0126,-2.923116561,108.6158717,86,50000000,87021458,37021458,74.04,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0127,-7.694604488,109.2373558,69,69104172,107420810,38316638,55.45,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0128,-7.058246594,104.8806263,66,50000000,58747208,8747208,17.49,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0129,-6.059322952,103.5175176,94,58694836,76141840,17447004,29.72,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0130,-6.964013481,102.2550866,47,50000000,54115150,4115150,8.23,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0131,-8.534795147,108.1155783,39,135380069,235917825,100537755,74.26,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0132,-6.105955538,104.0871835,68,104682698,117229859,12547160,11.99,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0133,-7.802255571,101.4633735,33,86876888,112308953,25432065,29.27,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0134,-5.498411354,107.8170465,13,163545817,271226355,107680538,65.84,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0135,-7.587936351,113.0780988,84,50000000,44452570,-5547430,-11.09,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0136,-3.883898392,106.8304227,54,187336668,341611350,154274682,82.35,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0137,-7.383679939,108.9418269,7,114870382,67522584,-47347798,-41.22,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0138,-6.691892274,107.0501734,79,56971792,105503604,48531811,85.19,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0139,-4.988524174,106.5983759,87,129782702,136392505,6609803,5.09,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0140,-8.055096475,109.1432912,14,50000000,55146025,5146025,10.29,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0141,-5.867610098,106.1199136,87,50000000,22199797,-27800203,-55.6,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0142,-4.248085869,107.5140808,19,50000000,50904106,904106,1.81,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0143,-8.620024852,107.6498445,54,50000000,39203869,-10796131,-21.59,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0144,-5.931849212,105.1753739,93,50000000,47847073,-2152927,-4.31,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0145,-5.818975809,109.3257059,120,136775279,156618037,19842758,14.51,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0146,-5.036065692,106.4082006,20,56214616,88994295,32779679,58.31,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0147,-8.064226066,104.9562371,29,81125101,104086859,22961757,28.3,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0148,-8.18948492,108.1868746,24,50000000,66153533,16153533,32.31,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0149,-5.425887652,104.59943,82,50000000,38089612,-11910388,-23.82,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0150,-5.76332299,106.9160529,63,77209604,65450455,-11759149,-15.23,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0151,-5.833060724,106.8228025,74,50000000,95974500,45974500,91.95,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0152,-5.689127686,109.5603389,105,63010981,57082882,-5928099,-9.41,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0153,-7.228837082,108.0323456,57,50000000,93124165,43124165,86.25,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0154,-5.860419454,106.7830326,8,216340822,238575362,22234541,10.28,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0155,-5.76919129,108.8900157,90,113443745,136236315,22792570,20.09,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0156,-7.280327127,110.3211189,62,69961264,113907157,43945893,62.81,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0157,-3.410138233,108.2401258,29,140150024,239482330,99332306,70.88,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0158,-5.498050619,106.8714815,74,50000000,57783749,7783749,15.57,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0159,-7.995755246,103.5660094,17,90974302,95041106,4066804,4.47,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0160,-5.223969587,104.1828158,66,74022989,87171827,13148838,17.76,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0161,-7.670822505,106.0825382,6,76930429,102716202,25785773,33.52,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0162,-5.028173094,105.3218195,58,140879025,219281227,78402203,55.65,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0163,-4.470906631,106.3781717,69,101899263,122451523,20552260,20.17,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0164,-7.439823478,106.9872248,28,78079196,113023892,34944697,44.76,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0165,-4.763735806,108.1698319,62,50000000,92767195,42767195,85.53,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0166,-5.58962861,106.6693531,41,50000000,67626192,17626192,35.25,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0167,-4.97570976,108.0618541,69,60999403,80803539,19804136,32.47,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0168,-3.363610526,107.006786,82,69443458,41140782,-28302676,-40.76,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0169,-6.576882174,101.9069336,90,50000000,7385397,-42614603,-85.23,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0170,-7.339404247,104.4972615,84,279079154,1227575074,948495920,339.87,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0171,-7.543071644,106.4853811,41,163093862,189526534,26432672,16.21,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0172,-7.432515427,103.8213631,49,94232057,93674857,-557201,-0.59,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0173,-6.324452564,108.3454218,91,68560157,88950776,20390619,29.74,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0174,-5.697072038,110.6724771,49,57810132,67975380,10165247,17.58,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0175,-5.793763801,109.8925046,76,50000000,82555605,32555605,65.11,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0176,-4.968025126,106.3119928,71,68784454,84910580,16126126,23.44,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0177,-6.189297162,110.5724153,3,76641673,56426521,-20215152,-26.38,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0178,-4.028498884,107.2172686,10,50000000,79803325,29803325,59.61,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0179,-6.60578525,106.0028851,98,80237845,89316563,9078717,11.31,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0180,-2.12854625,105.3120933,89,59819639,84382460,24562821,41.06,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0181,-5.270298978,106.0894258,35,50000000,246568669,196568669,393.14,Tinggi,Atas,Sangat Baik,High Performer,Extreme High,Outstanding
Store-0182,-7.494536335,105.875158,80,50000000,47003462,-2996538,-5.99,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0183,-7.815138747,107.2716406,2,51230042,63200827,11970785,23.37,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0184,-5.485091377,107.247035,24,203792442,245596683,41804241,20.51,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0185,-6.543994178,106.8532151,74,91690733,127627157,35936424,39.19,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0186,-5.137799259,107.9379454,38,50000000,54627085,4627085,9.25,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0187,-5.498943563,109.8222157,22,87892213,40909966,-46982248,-53.45,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0188,-6.318043369,109.2194853,26,50000000,51344522,1344522,2.69,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0189,-7.478990577,103.1333551,43,125725892,190792484,65066592,51.75,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0190,-8.481070837,100.4607972,55,50000000,54052478,4052478,8.1,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0191,-6.878572428,109.1813998,39,62072790,68369866,6297076,10.14,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0192,-4.924201809,103.4284033,91,145469644,231958708,86489064,59.46,Sedang,Atas,Sangat Baik,Normal,Normal,High Performer
Store-0193,-5.887659384,106.2836865,29,50000000,45760535,-4239465,-8.48,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0194,-8.077408168,103.9203174,111,50000000,29143936,-20856064,-41.71,Sedang,Bawah,Kurang,Normal,Normal,Critical
Store-0195,-5.949028611,102.3406489,102,50000000,56787378,6787378,13.57,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0196,-5.63082393,108.1992568,20,122427223,123202238,775016,0.63,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0197,-7.534586154,108.7434879,91,50000000,40675074,-9324926,-18.65,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0198,-5.978212341,105.404324,41,50000000,56492431,6492431,12.98,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0199,-6.121486922,100.3679943,54,50088635,69953900,19865266,39.66,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0200,-7.923255447,105.4799889,20,91426368,109371953,17945586,19.63,Sedang,Tengah,Baik,Normal,Normal,Average
Store-0201,-5.672118959,107.82511,108,134915208,178464816,43549608,32.28,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0202,-5.36762321,103.1483211,19,50000000,96268154,46268154,92.54,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
Store-0203,-4.584223135,107.3039998,84,51297062,54521003,3223941,6.28,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0204,-4.628096922,106.8073254,99,131214040,172066147,40852108,31.13,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0205,-8.275304052,108.2938287,111,50000000,49815733,-184267,-0.37,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0206,-7.61553756,107.1445509,66,52006930,44801688,-7205242,-13.85,Sedang,Bawah,Kurang,Normal,Normal,Underperformer
Store-0207,-5.436247099,104.4129276,30,73607268,71107340,-2499928,-3.4,Sedang,Tengah,Kurang,Normal,Normal,Underperformer
Store-0208,-5.438121074,109.8370288,53,85971915,86702382,730467,0.85,Sedang,Tengah,Cukup,Normal,Normal,Average
Store-0209,-5.436228471,106.4492761,34,50000000,67189516,17189516,34.38,Sedang,Tengah,Baik,Normal,Normal,High Performer
Store-0210,-0.429702764,106.7773387,22,67030923,143421395,76390472,113.96,Sedang,Atas,Sangat Baik,Normal,Normal,Outstanding
