cabang,Omset Jan25,Omset Mei26,Growth,latitude_cabang,longitude_cabang,Persen Growth,Kategori,lama_buka_bulan,Kategori_By_StdDev,Kategori_By_Percentile,Kategori_Atasan,Kategori_Hibrida,Kategori_Baru,Z_Score,Kategori_ZScore,Kategori_IQR
TGR001,1427850000,1527600000,99750000,-6.228574,106.525122,0.06986027944,Baik,94,Sedang,Sedang,Baik,Rendah,Rendah,-0.17209631527407784,Sedang,Sedang
CKG010,1341900000,1488450000,146550000,-6.19601,106.858964,0.1092108205,Baik,123,Sedang,Sedang,Baik,Sedang,Sedang,-0.16444458737628095,Sedang,Sedang
CJR018,0,1479800000,1479800000,-6.728256,107.040365,0.0,#DIV/0!,15,Sedang,Rendah,Baik,Rendah,Rendah,-0.18568067357613705,Sedang,Rendah
CKG018,1371650000,1468850000,97200000,-6.227259,106.881704,0.07086355849,Baik,108,Sedang,Sedang,Baik,Rendah,Rendah,-0.17190122727555565,Sedang,Sedang
TGR003,1033700000,1467050000,433350000,-6.254868,106.560679,0.4192222115,Sangat Baik,88,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10416275273688917,Sedang,Sedang
TGR008,1433000000,1453700000,20700000,-6.184897,106.454758,0.01444521982,Baik,84,Sedang,Rendah,Baik,Rendah,Rendah,-0.1828717950065141,Sedang,Rendah
GGP019,811400000,1453000000,641600000,-6.132578,106.690215,0.790732068,Sangat Baik,67,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.03192251774359773,Sedang,Tinggi
GIN001,810850000,1452800000,641950000,-8.545309,115.325419,0.7917000678,Sangat Baik,40,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.031734289808855266,Sedang,Tinggi
KYB001,1451000000,1450350000,-650000,-6.218429,106.845201,-0.0004479669194,Kurang Baik,122,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.18576778091652246,Sedang,Rendah
BKS010,1450600000,1442650000,-7950000,-6.265078,106.944397,-0.005480490831,Kurang Baik,114,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.18674635713360688,Sedang,Rendah
CPT016,1170650000,1438750000,268100000,-6.254726,106.650999,0.2290180669,Baik,63,Sedang,Sedang,Baik,Sedang,Sedang,-0.1411480220701188,Sedang,Sedang
SBM007,1093850000,1435750000,341900000,-6.911597,106.898422,0.3125657083,Baik,60,Sedang,Sedang,Baik,Sedang,Sedang,-0.12490215095183463,Sedang,Sedang
CKR009,1005950000,1435150000,429200000,-6.335017,107.120827,0.4266613649,Sangat Baik,80,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10271620648686487,Sedang,Sedang
TJP003,1141250000,1433650000,292400000,-6.112084,106.884139,0.2562102957,Baik,119,Sedang,Sedang,Baik,Sedang,Sedang,-0.13586048268419312,Sedang,Sedang
BKS001,990400000,1427250000,436850000,-6.267963,106.911597,0.4410844103,Sangat Baik,131,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.09991163974176989,Sedang,Sedang
GGP005,1061150000,1423050000,361900000,-6.137781,106.759258,0.3410450926,Baik,125,Sedang,Sedang,Baik,Sedang,Sedang,-0.1193643236821125,Sedang,Sedang
TGR026,781100000,1417000000,635900000,-6.074205,106.646022,0.8141083088,Sangat Baik,56,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.02737699869718242,Sedang,Tinggi
CPT022,949450000,1410050000,460600000,-6.312186,106.72245,0.4851229659,Sangat Baik,56,Sedang,Sedang,Sangat Baik,Tinggi,Sedang,-0.09134832560717134,Sedang,Sedang
GGP006,1259550000,1400900000,141350000,-6.15357,106.725698,0.1122226192,Baik,125,Sedang,Sedang,Baik,Sedang,Sedang,-0.16385894195655978,Sedang,Sedang
BDG006,969650000,1398950000,429300000,-6.869652,107.592124,0.4427370701,Sangat Baik,52,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.09959027940575961,Sedang,Sedang
PWK003,1114950000,1389850000,274900000,-6.526119,107.458233,0.2465581416,Baik,63,Sedang,Sedang,Baik,Sedang,Sedang,-0.13773734777451535,Sedang,Sedang
KYB015,1297050000,1383550000,86500000,-6.329763,106.825841,0.06668979608,Baik,99,Sedang,Sedang,Baik,Rendah,Rendah,-0.1727128169871857,Sedang,Sedang
TJP008,873700000,1382600000,508900000,-6.134334,106.836945,0.5824653771,Sangat Baik,104,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.07242005617671651,Sedang,Sedang
TJP012,833950000,1380000000,546050000,-6.117927,106.88075,0.6547754662,Sangat Baik,72,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.0583593314406829,Sedang,Sedang
TGR009,688300000,1375650000,687350000,-6.239562,106.582108,0.9986197879,Sangat Baik,74,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.008501329632294337,Sedang,Tinggi
CPT017,991650000,1348650000,357000000,-6.34875,106.67334,0.3600060505,Sangat Baik,63,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.11567735809983083,Sedang,Sedang
BKS031,1216100000,1321000000,104900000,-6.312362,106.988597,0.08625935367,Baik,79,Sedang,Sedang,Baik,Rendah,Rendah,-0.1689075089602738,Sedang,Sedang
BDG015,840900000,1310800000,469900000,-6.89218,107.597253,0.5588060411,Sangat Baik,29,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.07702062319404204,Sedang,Sedang
TAB001,841700000,1304300000,462600000,-8.554119,115.139299,0.549601996,Sangat Baik,40,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.07881035331635132,Sedang,Sedang
GGP004,973800000,1298050000,324250000,-6.152109,106.796901,0.3329739166,Baik,126,Sedang,Sedang,Baik,Sedang,Sedang,-0.12093376697065744,Sedang,Sedang
BDG025,485500000,1296750000,811250000,-6.885394,107.614265,1.670957775,Sangat Baik,33,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.1392377107356058,Sedang,Tinggi
DPK008,980750000,1296100000,315350000,-6.399153,106.877493,0.321539638,Baik,117,Sedang,Sedang,Baik,Sedang,Sedang,-0.1231571668578762,Sedang,Sedang
CKR011,1200700000,1290700000,90000000,-6.435456,107.071237,0.07495627551,Baik,72,Sedang,Sedang,Baik,Rendah,Rendah,-0.17110539687129328,Sedang,Sedang
KYB020,688250000,1281350000,593100000,-6.263013,106.830429,0.8617508173,Sangat Baik,64,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.018112894530110633,Sedang,Tinggi
CKR027,866500000,1277300000,410800000,-6.19671,107.174545,0.4740911714,Sangat Baik,50,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.09349346230579268,Sedang,Sedang
KWG051,770550000,1275350000,504800000,-6.3872635,107.2249054,0.6551164752,Sangat Baik,23,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.05829302210900888,Sedang,Sedang
TNA013,1120350000,1272850000,152500000,-6.197972,106.814255,0.1361181774,Baik,32,Sedang,Sedang,Baik,Sedang,Sedang,-0.15921244144126628,Sedang,Sedang
KWG001,1476950000,1261950000,-215000000,-6.307217,107.29921,-0.145570263,Kurang Baik,71,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.21398686740428183,Sedang,Rendah
SBR001,713400000,1252100000,538700000,-6.721623,108.500721,0.7551163443,Sangat Baik,55,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.0388480089641628,Sedang,Tinggi
TJP021,994950000,1247450000,252500000,-6.134198,106.750488,0.2537815971,Baik,62,Sedang,Sedang,Baik,Sedang,Sedang,-0.13633274406440196,Sedang,Sedang
MGW004,0,1245250000,1245250000,-8.766448,115.174458,0.0,#DIV/0!,15,Sedang,Rendah,Baik,Rendah,Rendah,-0.18568067357613705,Sedang,Rendah
MGW002,1094850000,1238800000,143950000,-8.646371,115.17206,0.1314791981,Baik,54,Sedang,Sedang,Baik,Sedang,Sedang,-0.16011449275672313,Sedang,Sedang
CKG022,1148900000,1235550000,86650000,-6.218589,106.899686,0.07541996692,Baik,102,Sedang,Sedang,Baik,Rendah,Rendah,-0.17101523189764134,Sedang,Sedang
SBM019,575000000,1235550000,660550000,-6.9883099,106.5486078,1.148782609,Sangat Baik,20,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.037700548155638086,Sedang,Tinggi
GGP003,1031600000,1234250000,202650000,-6.133037,106.729606,0.1964424195,Baik,128,Sedang,Sedang,Baik,Sedang,Sedang,-0.14748236928072803,Sedang,Sedang
KWG003,1237000000,1229500000,-7500000,-6.273704,107.271607,-0.00606305578,Kurang Baik,70,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.18685963711280068,Sedang,Rendah
GGP013,1339950000,1226300000,-113650000,-6.165275,106.724932,-0.08481659763,Kurang Baik,79,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.20217329372314155,Sedang,Rendah
BKS056,1222900000,1225600000,2700000,-6.234236,106.971388,0.002207866547,Baik,35,Sedang,Rendah,Baik,Rendah,Rendah,-0.18525135307387172,Sedang,Rendah
TNA002,1184300000,1224800000,40500000,-6.172233,106.863554,0.0341974162,Baik,121,Sedang,Rendah,Baik,Rendah,Rendah,-0.17903097279639102,Sedang,Rendah
CMS004,716850000,1222450000,505600000,-7.333372,108.353958,0.7053079445,Sangat Baik,25,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.048533271530518986,Sedang,Sedang
BKS013,1371900000,1221400000,-150500000,-6.210542,106.978778,-0.1097018733,Kurang Baik,105,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.2070122451824917,Sedang,Rendah
BKS025,1141600000,1217300000,75700000,-6.340297,106.978298,0.06631044149,Baik,89,Sedang,Sedang,Baik,Rendah,Rendah,-0.17278658263363603,Sedang,Sedang
KWG053,656650000,1215600000,558950000,-6.5166665,107.2281481,0.8512144978,Sangat Baik,22,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.02016168592373655,Sedang,Tinggi
BKS004,832300000,1215500000,383200000,-6.228729,106.97711,0.4604109095,Sangat Baik,123,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.0961535945126101,Sedang,Sedang
BKS050,885350000,1212300000,326950000,-6.35588,106.920537,0.3692889818,Sangat Baik,58,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.11387228852548271,Sedang,Sedang
GGP014,972150000,1209350000,237200000,-6.145639,106.793889,0.2439952682,Baik,76,Sedang,Sedang,Baik,Sedang,Sedang,-0.1382356994963735,Sedang,Sedang
SMD002,1128050000,1189700000,61650000,-6.831918,107.922674,0.05465183281,Baik,51,Sedang,Sedang,Baik,Rendah,Rendah,-0.17505360359149863,Sedang,Sedang
BDG012,673350000,1187050000,513700000,-6.906835,107.691206,0.7629019084,Sangat Baik,36,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.037334103019814484,Sedang,Tinggi
CKR039,76600000,1174100000,1097500000,-6.284502,107.152949,14.32767624,Sangat Baik,16,Tinggi,Tinggi,Sangat Baik,Ekstrem (Superstar),Tinggi,2.6003415015458806,Baik,Extreme High
TGR029,637300000,1174050000,536750000,-6.233432,106.612656,0.8422250118,Sangat Baik,54,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,-0.02190969494623447,Sedang,Tinggi
SKB007,680350000,1170150000,489800000,-6.92144088,106.9223493,0.7199235688,Sangat Baik,23,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.04569125774398663,Sedang,Tinggi
CJR006,1033300000,1169150000,135850000,-6.714009,107.219241,0.131471983,Baik,49,Sedang,Sedang,Baik,Sedang,Sedang,-0.16011589573570306,Sedang,Sedang
KYB016,997300000,1167100000,169800000,-6.324721,106.811367,0.1702597012,Baik,81,Sedang,Sedang,Baik,Sedang,Sedang,-0.1525736089602738,Sedang,Sedang
KWG023,982150000,1166550000,184400000,-6.287579,107.454424,0.1877513618,Baik,49,Sedang,Sedang,Baik,Sedang,Sedang,-0.14917234880510238,Sedang,Sedang
PWK007,760450000,1163000000,402550000,-6.506089,107.485535,0.5293576172,Sangat Baik,49,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.08274688058801798,Sedang,Sedang
TJP006,896600000,1161600000,265000000,-6.151714,106.925853,0.2955610083,Baik,115,Sedang,Sedang,Baik,Sedang,Sedang,-0.12820872143037704,Sedang,Sedang
KWG026,1112850000,1157000000,44150000,-6.070911,107.169113,0.03967291189,Baik,46,Sedang,Sedang,Baik,Rendah,Rendah,-0.1779662605460167,Sedang,Sedang
SPA003,495200000,1156100000,660900000,-7.349591,108.117805,1.334612278,Sangat Baik,52,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.07383519901997007,Sedang,Tinggi
MJL002,879400000,1151150000,271750000,-6.76501,108.170258,0.3090175119,Baik,52,Sedang,Sedang,Baik,Sedang,Sedang,-0.12559209911136177,Sedang,Sedang
CKG009,1040250000,1145500000,105250000,-6.240151,106.869147,0.1011776015,Baik,121,Sedang,Sedang,Baik,Rendah,Rendah,-0.16600664991152508,Sedang,Sedang
TNA006,951350000,1142250000,190900000,-6.166131,106.852601,0.2006622168,Baik,115,Sedang,Sedang,Baik,Sedang,Sedang,-0.14666182806696873,Sedang,Sedang
CKG023,939000000,1137950000,198950000,-6.330375,106.867176,0.2118743344,Baik,97,Sedang,Sedang,Baik,Sedang,Sedang,-0.14448162747195054,Sedang,Sedang
CKR002,1023350000,1135600000,112250000,-6.248032,107.060562,0.1096887673,Baik,91,Sedang,Sedang,Baik,Sedang,Sedang,-0.16435165043654112,Sedang,Sedang
SNG001,998850000,1134200000,135350000,-6.28129,107.821586,0.1355058317,Baik,55,Sedang,Sedang,Baik,Sedang,Sedang,-0.15933151229898693,Sedang,Sedang
KWG011,945000000,1133550000,188550000,-6.340403,107.310914,0.1995238095,Baik,58,Sedang,Sedang,Baik,Sedang,Sedang,-0.14688319180586074,Sedang,Sedang
CKG046,744350000,1126950000,382600000,-6.183898,106.908825,0.5140055082,Sangat Baik,49,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.08573210410873665,Sedang,Sedang
CBI007,948150000,1126100000,177950000,-6.473611,106.862758,0.1876812741,Baik,82,Sedang,Sedang,Baik,Sedang,Sedang,-0.1491859773854201,Sedang,Sedang
KJN004,398400000,1121100000,722700000,-7.026248,109.579035,1.814006024,Sangat Baik,26,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.1670534979679935,Sedang,Tinggi
SNG004,1178350000,1117300000,-61050000,-6.448284,107.686017,-0.05180973395,Kurang Baik,52,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.19575509634044375,Sedang,Rendah
BKS008,1063750000,1117000000,53250000,-6.285661,106.922952,0.05005875441,Baik,116,Sedang,Sedang,Baik,Rendah,Rendah,-0.17594672945923348,Sedang,Sedang
TNG015,543900000,1116500000,572600000,-6.186138,106.655022,1.052767053,Sangat Baik,73,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.019030286230968165,Sedang,Tinggi
CKR015,710000000,1113700000,403700000,-6.163273,107.044844,0.5685915493,Sangat Baik,62,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.07511782734750229,Sedang,Sedang
SBR002,1242550000,1112700000,-129850000,-6.708136,108.433594,-0.1045028369,Kurang Baik,55,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.20600129054776672,Sedang,Rendah
PWT002,742800000,1107900000,365100000,-7.411902,109.079525,0.4915185784,Sangat Baik,36,Sedang,Sedang,Sangat Baik,Tinggi,Sedang,-0.09010469628794213,Sedang,Sedang
TGR017,751950000,1104300000,352350000,-6.070314,106.648898,0.4685816876,Sangat Baik,69,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.09456478355727536,Sedang,Sedang
DPR013,448700000,1100350000,651650000,-8.636128,115.255667,1.452306664,Sangat Baik,41,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.09672091780582186,Sedang,Tinggi
GRT005,771850000,1100000000,328150000,-7.207338,107.896312,0.4251473732,Sangat Baik,51,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10301060275730646,Sedang,Sedang
SOR003,862150000,1098900000,236750000,-6.979927,107.634255,0.2746041872,Baik,60,Sedang,Sedang,Baik,Sedang,Sedang,-0.13228378338227,Sedang,Sedang
SRG006,962450000,1097950000,135500000,-6.206469,106.36834,0.1407865344,Baik,57,Sedang,Sedang,Baik,Sedang,Sedang,-0.15830467762070508,Sedang,Sedang
TNA012,540800000,1095150000,554350000,-6.185139,106.852333,1.025055473,Sangat Baik,46,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.013641758803741253,Sedang,Tinggi
IDM016,711950000,1094400000,382450000,-6.329845,108.326329,0.5371866002,Sangat Baik,28,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.08122453182180567,Sedang,Sedang
DPR010,694450000,1093900000,399450000,-8.635862,115.206976,0.5752033984,Sangat Baik,41,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.07383215073793921,Sedang,Sedang
TJP001,710500000,1093150000,382650000,-6.13006,106.901056,0.5385643913,Sangat Baik,124,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.08095661981060533,Sedang,Sedang
CKG038,861800000,1088200000,226400000,-6.227531,106.89885,0.2627059643,Baik,66,Sedang,Sedang,Baik,Sedang,Sedang,-0.13459739741769888,Sedang,Sedang
DPR016,554150000,1088000000,533850000,-8.697498,115.185826,0.9633673193,Sangat Baik,26,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.0016464735061349095,Sedang,Tinggi
TGR014,995850000,1087700000,91850000,-6.168606,106.530909,0.09223276598,Baik,72,Sedang,Sedang,Baik,Rendah,Rendah,-0.16774597663095261,Sedang,Sedang
CKR017,842900000,1086350000,243450000,-6.437472,107.077833,0.2888242971,Baik,58,Sedang,Sedang,Baik,Sedang,Sedang,-0.1295186775234799,Sedang,Sedang
IDM007,761950000,1086200000,324250000,-6.47484,108.306714,0.4255528578,Sangat Baik,48,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10293175612032592,Sedang,Sedang
CKG035,876650000,1085600000,208950000,-6.205103,106.922765,0.238350539,Baik,73,Sedang,Sedang,Baik,Sedang,Sedang,-0.13933331926808876,Sedang,Sedang
CKR031,842450000,1084450000,242000000,-6.126316,106.991576,0.287257404,Baik,24,Sedang,Sedang,Baik,Sedang,Sedang,-0.1298233604915706,Sedang,Sedang
SMD001,984300000,1081850000,97550000,-6.855937,107.922073,0.09910596363,Baik,52,Sedang,Sedang,Baik,Rendah,Rendah,-0.1664094806949657,Sedang,Sedang
GGP030,482800000,1081550000,598750000,-6.145593,106.807024,1.240161558,Sangat Baik,30,Sedang,Tinggi,Sangat Baik,Tinggi,Tinggi,0.05546922005950184,Sedang,Tinggi
SBR006,928400000,1079650000,151250000,-6.812098,108.615532,0.1629146919,Baik,50,Sedang,Sedang,Baik,Sedang,Sedang,-0.15400184885371498,Sedang,Sedang
SNG007,654350000,1076450000,422100000,-6.525252,107.673268,0.6450676244,Sangat Baik,48,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.06024702502576468,Sedang,Sedang
SOR011,782850000,1075150000,292300000,-7.047706,107.583959,0.3733793192,Sangat Baik,53,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.11307692083924786,Sedang,Sedang
CKG008,1033150000,1070650000,37500000,-6.25761,106.863805,0.03629676233,Baik,122,Sedang,Sedang,Baik,Rendah,Rendah,-0.17862275413109846,Sedang,Sedang
TJP024,696450000,1066750000,370300000,-6.147252,106.956264,0.5316964606,Sangat Baik,49,Sedang,Sedang,Sangat Baik,Tinggi,Tinggi,-0.08229209158613181,Sedang,Sedang
SOR002,966850000,1062400000,95550000,-6.986236,107.627319,0.09882608471,Baik,60,Sedang,Sedang,Baik,Rendah,Rendah,-0.16646390325898847,Sedang,Sedang
CBI017,1033600000,1062250000,28650000,-6.466653,107.061052,0.02771865325,Baik,72,Sedang,Rendah,Baik,Rendah,Rendah,-0.18029077075271746,Sedang,Rendah
KWG009,860250000,1058600000,198350000,-6.4154,107.467829,0.230572508,Baik,67,Sedang,Sedang,Baik,Sedang,Sedang,-0.1408457603982344,Sedang,Sedang
DPR002,724850000,1057950000,333100000,-8.649182,115.227711,0.4595433538,Sangat Baik,104,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.09632229105333774,Sedang,Sedang
DPK006,889250000,1057700000,168450000,-6.387814,106.826823,0.1894292943,Baik,122,Sedang,Sedang,Baik,Sedang,Sedang,-0.14884607418282225,Sedang,Sedang
NPH012,914100000,1050150000,136050000,-6.817352,107.622139,0.1488349196,Baik,42,Sedang,Sedang,Baik,Sedang,Sedang,-0.15673966601201705,Sedang,Sedang
KYB012,1158650000,1047850000,-110800000,-6.308757,106.793614,-0.09562853321,Kurang Baik,111,Sedang,Rendah,Kurang Baik,Rendah,Rendah,-0.20427567876990688,Sedang,Rendah
GGP015,737850000,1046450000,308600000,-6.121322,106.716288,0.4182421901,Sangat Baik,74,Sedang,Sedang,Sangat Baik,Sedang,Sedang,-0.10435331827639177,Sedang,Sedang
